Train size 6904 items and test size 2500 items
Batch size: 13
Epoch: [1][30/35],Time 5.961 (5.656), Data 5.436 (5.130),Loss 1.8356 (2.4437), Prec@1 68.000 (56.133), Prec@5 74.000 (63.633)
Epoch: [2][30/35],Time 2.776 (2.815), Data 2.250 (2.287),Loss 1.8556 (1.8997), Prec@1 65.000 (63.633), Prec@5 71.500 (70.833)
Epoch: [3][30/35],Time 2.799 (2.799), Data 2.272 (2.270),Loss 1.8062 (1.8628), Prec@1 64.500 (63.517), Prec@5 72.000 (70.867)
Epoch: [4][30/35],Time 2.838 (2.820), Data 2.309 (2.290),Loss 1.7519 (1.8133), Prec@1 65.500 (63.867), Prec@5 72.500 (71.150)
Epoch: [5][30/35],Time 2.795 (2.811), Data 2.267 (2.282),Loss 1.7322 (1.7726), Prec@1 64.500 (63.867), Prec@5 71.500 (71.117)
Epoch: [6][30/35],Time 2.928 (2.792), Data 2.398 (2.262),Loss 1.4062 (1.7770), Prec@1 71.500 (64.017), Prec@5 80.500 (71.267)
Epoch: [7][30/35],Time 2.734 (2.800), Data 2.208 (2.270),Loss 1.7567 (1.7411), Prec@1 62.500 (63.617), Prec@5 71.500 (71.283)
Epoch: [8][30/35],Time 2.799 (2.820), Data 2.268 (2.290),Loss 1.6943 (1.7226), Prec@1 66.000 (64.050), Prec@5 73.500 (71.300)
Epoch: [9][30/35],Time 2.834 (2.822), Data 2.303 (2.292),Loss 1.5839 (1.7016), Prec@1 68.500 (63.917), Prec@5 73.500 (71.350)
Epoch: [10][30/35],Time 2.789 (2.794), Data 2.262 (2.265),Loss 1.7833 (1.7111), Prec@1 65.500 (63.433), Prec@5 74.500 (71.183)
Epoch: [11][30/35],Time 2.998 (2.814), Data 2.470 (2.284),Loss 1.6849 (1.7169), Prec@1 63.500 (63.617), Prec@5 70.500 (71.150)
Epoch: [12][30/35],Time 2.732 (2.799), Data 2.201 (2.270),Loss 1.7234 (1.6978), Prec@1 62.000 (63.333), Prec@5 68.000 (71.283)
Epoch: [13][30/35],Time 2.773 (2.795), Data 2.242 (2.265),Loss 1.5923 (1.6870), Prec@1 65.000 (63.817), Prec@5 73.000 (71.833)
Epoch: [14][30/35],Time 2.862 (2.810), Data 2.332 (2.280),Loss 1.6555 (1.6831), Prec@1 63.500 (63.467), Prec@5 72.500 (71.200)
Epoch: [15][30/35],Time 2.749 (2.807), Data 2.219 (2.277),Loss 1.7469 (1.6647), Prec@1 59.000 (63.867), Prec@5 69.000 (71.567)
Epoch: [16][30/35],Time 2.674 (2.804), Data 2.145 (2.274),Loss 1.8422 (1.7039), Prec@1 59.500 (63.183), Prec@5 67.000 (71.317)
Epoch: [17][30/35],Time 3.018 (2.811), Data 2.488 (2.281),Loss 1.6029 (1.6625), Prec@1 65.500 (63.933), Prec@5 73.000 (72.100)
Epoch: [18][30/35],Time 2.760 (2.806), Data 2.229 (2.276),Loss 1.6389 (1.6508), Prec@1 62.500 (64.083), Prec@5 72.000 (72.317)
Epoch: [19][30/35],Time 2.826 (2.803), Data 2.297 (2.273),Loss 1.5635 (1.6778), Prec@1 67.500 (63.917), Prec@5 72.000 (71.883)
Epoch: [20][30/35],Time 2.862 (2.853), Data 2.331 (2.324),Loss 1.4923 (1.6334), Prec@1 66.000 (63.833), Prec@5 74.500 (72.317)
Epoch: [21][30/35],Time 2.775 (2.814), Data 2.245 (2.284),Loss 1.5692 (1.6261), Prec@1 64.500 (63.767), Prec@5 76.500 (72.467)
Epoch: [22][30/35],Time 2.684 (2.787), Data 2.156 (2.257),Loss 1.7751 (1.6414), Prec@1 59.500 (63.550), Prec@5 67.500 (72.350)
Epoch: [23][30/35],Time 2.855 (2.790), Data 2.325 (2.260),Loss 1.4443 (1.6286), Prec@1 70.000 (63.700), Prec@5 76.500 (72.200)
Epoch: [24][30/35],Time 2.842 (2.785), Data 2.316 (2.255),Loss 1.5642 (1.6515), Prec@1 66.000 (63.400), Prec@5 75.000 (72.217)
Epoch: [25][30/35],Time 2.740 (2.807), Data 2.208 (2.277),Loss 1.6108 (1.6437), Prec@1 64.000 (63.317), Prec@5 71.500 (72.217)
Epoch: [26][30/35],Time 3.063 (2.807), Data 2.534 (2.277),Loss 1.5860 (1.6178), Prec@1 64.000 (63.800), Prec@5 74.000 (73.250)
Epoch: [27][30/35],Time 2.883 (2.781), Data 2.357 (2.251),Loss 1.4135 (1.6096), Prec@1 69.000 (63.750), Prec@5 79.500 (73.267)
Epoch: [28][30/35],Time 2.618 (2.750), Data 2.091 (2.222),Loss 1.7016 (1.6195), Prec@1 59.500 (63.350), Prec@5 70.000 (73.250)
Epoch: [29][30/35],Time 2.621 (2.729), Data 2.094 (2.200),Loss 1.7143 (1.5714), Prec@1 61.500 (64.217), Prec@5 69.000 (73.717)
Epoch: [30][30/35],Time 2.613 (2.724), Data 2.082 (2.195),Loss 1.8229 (1.5802), Prec@1 58.500 (64.000), Prec@5 70.500 (74.117)
Epoch: [31][30/35],Time 2.960 (2.740), Data 2.428 (2.211),Loss 1.6036 (1.5742), Prec@1 63.000 (64.100), Prec@5 70.500 (74.283)
Epoch: [32][30/35],Time 2.678 (2.719), Data 2.150 (2.189),Loss 1.5933 (1.5776), Prec@1 64.500 (64.083), Prec@5 75.000 (74.833)
Epoch: [33][30/35],Time 2.713 (2.791), Data 2.182 (2.261),Loss 1.7664 (1.5558), Prec@1 61.000 (64.450), Prec@5 73.000 (74.650)
Epoch: [34][30/35],Time 2.962 (2.792), Data 2.434 (2.263),Loss 1.5319 (1.5381), Prec@1 64.500 (64.467), Prec@5 77.500 (75.317)
Epoch: [35][30/35],Time 2.832 (2.800), Data 2.301 (2.270),Loss 1.4125 (1.5238), Prec@1 67.000 (64.617), Prec@5 78.500 (75.867)
Epoch: [36][30/35],Time 2.752 (2.802), Data 2.221 (2.272),Loss 1.6336 (1.5079), Prec@1 62.000 (64.600), Prec@5 74.000 (76.067)
Epoch: [37][30/35],Time 2.881 (2.809), Data 2.354 (2.280),Loss 1.4800 (1.4882), Prec@1 66.500 (64.983), Prec@5 75.000 (76.217)
Epoch: [38][30/35],Time 2.777 (2.783), Data 2.249 (2.253),Loss 1.4822 (1.5148), Prec@1 65.000 (64.683), Prec@5 77.500 (76.650)
Epoch: [39][30/35],Time 2.715 (2.798), Data 2.184 (2.268),Loss 1.4582 (1.4902), Prec@1 65.000 (64.817), Prec@5 78.500 (76.583)
Epoch: [40][30/35],Time 2.945 (2.795), Data 2.415 (2.265),Loss 1.4929 (1.4943), Prec@1 62.500 (64.967), Prec@5 81.000 (77.233)
Epoch: [41][30/35],Time 2.863 (2.803), Data 2.335 (2.274),Loss 1.4036 (1.4750), Prec@1 67.000 (65.167), Prec@5 79.500 (77.483)
Epoch: [42][30/35],Time 2.785 (2.784), Data 2.257 (2.254),Loss 1.3645 (1.4509), Prec@1 66.500 (64.883), Prec@5 78.500 (77.700)
Epoch: [43][30/35],Time 2.837 (2.814), Data 2.307 (2.284),Loss 1.3480 (1.4511), Prec@1 67.000 (65.033), Prec@5 82.000 (77.567)
Epoch: [44][30/35],Time 2.805 (2.783), Data 2.273 (2.253),Loss 1.4959 (1.4579), Prec@1 63.500 (65.100), Prec@5 79.500 (78.067)
Epoch: [45][30/35],Time 2.772 (2.802), Data 2.242 (2.272),Loss 1.3822 (1.4299), Prec@1 68.500 (65.367), Prec@5 83.500 (78.367)
Epoch: [46][30/35],Time 2.854 (2.787), Data 2.324 (2.258),Loss 1.3313 (1.4638), Prec@1 68.000 (65.100), Prec@5 79.000 (78.000)
Epoch: [47][30/35],Time 2.761 (2.848), Data 2.231 (2.319),Loss 1.3867 (1.4367), Prec@1 66.000 (65.367), Prec@5 82.500 (79.100)
Epoch: [48][30/35],Time 2.779 (2.840), Data 2.252 (2.311),Loss 1.5550 (1.4216), Prec@1 64.000 (65.517), Prec@5 76.500 (78.617)
Epoch: [49][30/35],Time 2.944 (2.811), Data 2.415 (2.282),Loss 1.6101 (1.4489), Prec@1 62.500 (65.300), Prec@5 77.000 (79.117)
Epoch: [50][30/35],Time 6.887 (7.099), Data 6.361 (6.571),Loss 1.3984 (1.4202), Prec@1 69.000 (65.467), Prec@5 80.500 (79.467)
Epoch: [51][30/35],Time 2.604 (2.814), Data 2.078 (2.286),Loss 1.7201 (1.3995), Prec@1 57.500 (66.417), Prec@5 73.000 (80.300)
Epoch: [52][30/35],Time 3.051 (2.809), Data 2.519 (2.280),Loss 1.2444 (1.3879), Prec@1 68.500 (65.533), Prec@5 81.500 (80.150)
Epoch: [53][30/35],Time 2.776 (2.806), Data 2.245 (2.276),Loss 1.5555 (1.4104), Prec@1 64.500 (65.983), Prec@5 74.500 (79.833)
Epoch: [54][30/35],Time 2.880 (2.782), Data 2.351 (2.253),Loss 1.2110 (1.4027), Prec@1 71.500 (66.350), Prec@5 83.000 (80.017)
Epoch: [55][30/35],Time 2.778 (2.781), Data 2.250 (2.252),Loss 1.4104 (1.3805), Prec@1 67.000 (66.750), Prec@5 78.000 (80.333)
Epoch: [56][30/35],Time 2.742 (2.792), Data 2.214 (2.262),Loss 1.3576 (1.3708), Prec@1 66.500 (66.617), Prec@5 82.000 (80.850)
Epoch: [57][30/35],Time 2.684 (2.787), Data 2.155 (2.257),Loss 1.5319 (1.3455), Prec@1 65.000 (67.117), Prec@5 79.000 (81.033)
Epoch: [58][30/35],Time 2.810 (2.805), Data 2.278 (2.276),Loss 1.2660 (1.3738), Prec@1 69.500 (66.583), Prec@5 81.500 (81.400)
Epoch: [59][30/35],Time 2.878 (2.785), Data 2.348 (2.255),Loss 1.1599 (1.3499), Prec@1 71.500 (66.933), Prec@5 83.500 (81.317)
Epoch: [60][30/35],Time 2.719 (2.782), Data 2.189 (2.252),Loss 1.3249 (1.3547), Prec@1 67.500 (67.100), Prec@5 81.500 (81.867)
Epoch: [61][30/35],Time 2.887 (2.802), Data 2.357 (2.272),Loss 1.3453 (1.3278), Prec@1 66.000 (67.517), Prec@5 81.500 (82.017)
Epoch: [62][30/35],Time 2.764 (2.787), Data 2.235 (2.258),Loss 1.1771 (1.3508), Prec@1 70.500 (67.000), Prec@5 86.500 (81.650)
Epoch: [63][30/35],Time 2.774 (2.793), Data 2.243 (2.263),Loss 1.2134 (1.3146), Prec@1 66.500 (67.733), Prec@5 81.500 (82.567)
Epoch: [64][30/35],Time 2.966 (2.793), Data 2.435 (2.263),Loss 1.1924 (1.3290), Prec@1 70.500 (67.467), Prec@5 83.000 (82.233)
Epoch: [65][30/35],Time 2.745 (2.805), Data 2.216 (2.276),Loss 1.4255 (1.3125), Prec@1 68.000 (67.800), Prec@5 81.000 (82.617)
Epoch: [66][30/35],Time 2.705 (2.792), Data 2.174 (2.262),Loss 1.3213 (1.3405), Prec@1 64.000 (67.167), Prec@5 84.000 (82.683)
Epoch: [67][30/35],Time 2.740 (2.783), Data 2.210 (2.253),Loss 1.3308 (1.2616), Prec@1 70.500 (68.333), Prec@5 83.000 (83.100)
Epoch: [68][30/35],Time 2.812 (2.778), Data 2.281 (2.248),Loss 1.1838 (1.3022), Prec@1 69.500 (67.950), Prec@5 85.000 (82.883)
Epoch: [69][30/35],Time 3.705 (2.834), Data 3.176 (2.304),Loss 1.6198 (1.2713), Prec@1 58.500 (68.550), Prec@5 79.000 (83.433)
Epoch: [70][30/35],Time 2.670 (2.792), Data 2.138 (2.262),Loss 1.3856 (1.2604), Prec@1 66.500 (68.933), Prec@5 83.000 (83.983)
Epoch: [71][30/35],Time 2.726 (2.783), Data 2.196 (2.254),Loss 1.3352 (1.2528), Prec@1 65.500 (68.717), Prec@5 83.000 (83.567)
Epoch: [72][30/35],Time 2.699 (2.798), Data 2.171 (2.268),Loss 1.2480 (1.2694), Prec@1 65.500 (68.983), Prec@5 87.500 (84.483)
Epoch: [73][30/35],Time 2.863 (2.792), Data 2.331 (2.262),Loss 1.1415 (1.2421), Prec@1 70.500 (68.617), Prec@5 85.500 (84.117)
Epoch: [74][30/35],Time 2.750 (2.787), Data 2.223 (2.258),Loss 1.3019 (1.2358), Prec@1 66.500 (68.917), Prec@5 84.500 (84.233)
Epoch: [75][30/35],Time 2.792 (2.787), Data 2.260 (2.257),Loss 1.3009 (1.2579), Prec@1 67.000 (68.500), Prec@5 85.000 (84.400)
Epoch: [76][30/35],Time 2.702 (2.791), Data 2.175 (2.261),Loss 1.1527 (1.2295), Prec@1 70.000 (68.900), Prec@5 88.500 (84.917)
Epoch: [77][30/35],Time 2.797 (2.803), Data 2.266 (2.273),Loss 1.2276 (1.2161), Prec@1 69.500 (69.617), Prec@5 84.500 (85.050)
Epoch: [78][30/35],Time 2.630 (2.781), Data 2.099 (2.252),Loss 1.2935 (1.2195), Prec@1 63.000 (69.317), Prec@5 83.000 (84.517)
Epoch: [79][30/35],Time 2.768 (2.798), Data 2.237 (2.267),Loss 1.1513 (1.2622), Prec@1 71.000 (68.717), Prec@5 87.500 (84.417)
Epoch: [80][30/35],Time 2.701 (2.795), Data 2.174 (2.266),Loss 1.2386 (1.2229), Prec@1 70.000 (69.400), Prec@5 83.500 (85.017)
Epoch: [81][30/35],Time 2.759 (2.795), Data 2.228 (2.266),Loss 1.1257 (1.2056), Prec@1 69.000 (69.750), Prec@5 86.000 (84.900)
Epoch: [82][30/35],Time 2.772 (2.800), Data 2.240 (2.270),Loss 1.1228 (1.1952), Prec@1 70.000 (69.383), Prec@5 85.000 (85.417)
Epoch: [83][30/35],Time 2.790 (2.785), Data 2.258 (2.256),Loss 1.1467 (1.1900), Prec@1 73.000 (69.967), Prec@5 85.500 (85.467)
Epoch: [84][30/35],Time 2.771 (2.779), Data 2.241 (2.249),Loss 1.4166 (1.1892), Prec@1 68.000 (69.783), Prec@5 82.500 (85.683)
Epoch: [85][30/35],Time 2.821 (2.790), Data 2.289 (2.260),Loss 0.9908 (1.1778), Prec@1 75.500 (70.383), Prec@5 90.000 (86.017)
Epoch: [86][30/35],Time 2.821 (2.800), Data 2.290 (2.270),Loss 1.1381 (1.1900), Prec@1 71.000 (70.167), Prec@5 85.500 (85.400)
Epoch: [87][30/35],Time 2.769 (2.782), Data 2.239 (2.252),Loss 1.2003 (1.1705), Prec@1 71.000 (70.317), Prec@5 86.500 (85.800)
Epoch: [88][30/35],Time 3.045 (2.798), Data 2.514 (2.268),Loss 1.1232 (1.1617), Prec@1 71.500 (71.167), Prec@5 84.000 (86.217)
Epoch: [89][30/35],Time 2.672 (2.807), Data 2.143 (2.277),Loss 1.1809 (1.1517), Prec@1 72.000 (70.967), Prec@5 86.000 (85.817)
