Train size 6904 items and test size 2500 items
Batch size: 13
Epoch: [39][30/35],Time 2.853 (2.823), Data 2.322 (2.293),Loss 1.6032 (1.7226), Prec@1 67.000 (63.517), Prec@5 76.000 (71.600)
Epoch: [40][30/35],Time 2.839 (2.832), Data 2.307 (2.301),Loss 1.4737 (1.7241), Prec@1 69.000 (63.833), Prec@5 77.000 (71.100)
Epoch: [41][30/35],Time 2.953 (2.841), Data 2.421 (2.310),Loss 1.5773 (1.7403), Prec@1 67.000 (63.717), Prec@5 74.500 (71.583)
Epoch: [42][30/35],Time 2.824 (2.842), Data 2.292 (2.311),Loss 1.7734 (1.7156), Prec@1 63.500 (63.700), Prec@5 72.000 (71.733)
Epoch: [43][30/35],Time 2.672 (2.833), Data 2.139 (2.302),Loss 1.8210 (1.6990), Prec@1 60.500 (64.000), Prec@5 69.500 (71.583)
Epoch: [44][30/35],Time 2.917 (2.833), Data 2.385 (2.302),Loss 1.6322 (1.7121), Prec@1 66.000 (63.617), Prec@5 73.500 (71.267)
Epoch: [45][30/35],Time 2.940 (2.822), Data 2.407 (2.292),Loss 1.5240 (1.7097), Prec@1 68.500 (63.567), Prec@5 74.500 (71.750)
Epoch: [46][30/35],Time 2.793 (2.830), Data 2.264 (2.299),Loss 1.5973 (1.6979), Prec@1 65.500 (63.900), Prec@5 76.500 (71.683)
Epoch: [47][30/35],Time 2.837 (2.827), Data 2.308 (2.297),Loss 1.8519 (1.7069), Prec@1 61.000 (63.500), Prec@5 68.000 (71.333)
Epoch: [48][30/35],Time 2.893 (2.840), Data 2.361 (2.309),Loss 1.6583 (1.6745), Prec@1 64.500 (64.283), Prec@5 72.000 (72.483)
Epoch: [49][30/35],Time 2.738 (2.829), Data 2.208 (2.298),Loss 1.7920 (1.7239), Prec@1 62.000 (63.717), Prec@5 68.500 (71.650)
Epoch: [50][30/35],Time 7.207 (7.263), Data 6.679 (6.735),Loss 1.8267 (1.6947), Prec@1 61.500 (63.833), Prec@5 70.000 (71.783)
Epoch: [51][30/35],Time 2.957 (2.848), Data 2.425 (2.317),Loss 1.5364 (1.7037), Prec@1 67.000 (63.533), Prec@5 71.500 (71.550)
Epoch: [52][30/35],Time 2.954 (2.849), Data 2.423 (2.318),Loss 1.5348 (1.7029), Prec@1 67.500 (63.417), Prec@5 72.500 (71.867)
Epoch: [53][30/35],Time 3.080 (3.019), Data 2.549 (2.488),Loss 1.7544 (1.6744), Prec@1 61.000 (63.867), Prec@5 71.500 (72.233)
Epoch: [54][30/35],Time 2.976 (2.837), Data 2.443 (2.306),Loss 1.5620 (1.6852), Prec@1 67.500 (63.667), Prec@5 71.500 (71.883)
Epoch: [55][30/35],Time 2.770 (2.840), Data 2.238 (2.309),Loss 1.8753 (1.6980), Prec@1 58.500 (63.750), Prec@5 65.500 (72.017)
Epoch: [56][30/35],Time 2.657 (2.840), Data 2.125 (2.309),Loss 1.8506 (1.6881), Prec@1 58.000 (63.750), Prec@5 66.000 (72.033)
Epoch: [57][30/35],Time 2.951 (2.837), Data 2.419 (2.306),Loss 1.4297 (1.7003), Prec@1 70.000 (63.567), Prec@5 76.500 (72.083)
Epoch: [58][30/35],Time 2.873 (2.823), Data 2.341 (2.292),Loss 1.5981 (1.6858), Prec@1 67.500 (63.550), Prec@5 74.500 (71.833)
Epoch: [59][30/35],Time 2.786 (2.831), Data 2.253 (2.300),Loss 1.7760 (1.6798), Prec@1 60.000 (63.717), Prec@5 70.000 (72.467)
Epoch: [60][30/35],Time 2.842 (2.838), Data 2.313 (2.307),Loss 1.7180 (1.6651), Prec@1 62.500 (63.850), Prec@5 71.000 (72.167)
Epoch: [61][30/35],Time 2.869 (2.833), Data 2.341 (2.302),Loss 1.4991 (1.6629), Prec@1 68.000 (63.850), Prec@5 74.000 (72.383)
Epoch: [62][30/35],Time 2.800 (2.827), Data 2.271 (2.296),Loss 1.6105 (1.7034), Prec@1 64.500 (63.583), Prec@5 76.000 (71.617)
Epoch: [63][30/35],Time 2.955 (2.842), Data 2.424 (2.311),Loss 1.6780 (1.6833), Prec@1 64.500 (63.933), Prec@5 72.000 (72.283)
Epoch: [64][30/35],Time 2.964 (2.827), Data 2.432 (2.296),Loss 1.4987 (1.6866), Prec@1 67.500 (63.583), Prec@5 75.000 (72.100)
Epoch: [65][30/35],Time 2.836 (2.830), Data 2.304 (2.300),Loss 1.5498 (1.6732), Prec@1 67.000 (63.800), Prec@5 72.500 (72.367)
Epoch: [66][30/35],Time 2.864 (2.835), Data 2.333 (2.304),Loss 1.5448 (1.6718), Prec@1 67.000 (63.850), Prec@5 76.500 (72.500)
Epoch: [67][30/35],Time 2.799 (2.847), Data 2.266 (2.316),Loss 1.8321 (1.6406), Prec@1 61.000 (64.417), Prec@5 69.000 (72.667)
Epoch: [68][30/35],Time 2.866 (2.846), Data 2.337 (2.315),Loss 1.5494 (1.6676), Prec@1 65.500 (63.833), Prec@5 74.500 (71.967)
Epoch: [69][30/35],Time 2.867 (2.838), Data 2.334 (2.307),Loss 1.5752 (1.6564), Prec@1 65.000 (64.033), Prec@5 74.000 (72.283)
Epoch: [70][30/35],Time 2.852 (2.833), Data 2.320 (2.303),Loss 1.6521 (1.6788), Prec@1 64.000 (63.517), Prec@5 73.500 (71.867)
Epoch: [71][30/35],Time 2.814 (2.817), Data 2.282 (2.285),Loss 1.7979 (1.7018), Prec@1 61.500 (63.317), Prec@5 72.000 (71.617)
Epoch: [72][30/35],Time 2.863 (2.868), Data 2.333 (2.338),Loss 1.6884 (1.6764), Prec@1 63.500 (64.000), Prec@5 69.500 (72.217)
Epoch: [73][30/35],Time 2.893 (2.824), Data 2.363 (2.294),Loss 1.5298 (1.6754), Prec@1 67.000 (63.533), Prec@5 72.000 (71.800)
Epoch: [74][30/35],Time 2.830 (2.831), Data 2.298 (2.300),Loss 1.7024 (1.6843), Prec@1 64.000 (63.467), Prec@5 72.000 (71.700)
Epoch: [75][30/35],Time 2.798 (2.843), Data 2.269 (2.312),Loss 1.6451 (1.6497), Prec@1 64.000 (64.017), Prec@5 73.000 (72.733)
