Epoch: [20][60/85],Time 1.800 (1.748), Data 1.713 (1.662),Loss 1.4622 (1.6580), Prec@1 67.000 (63.567), Prec@5 74.000 (71.267)
Epoch: [21][30/85],Time 1.711 (1.742), Data 1.625 (1.656),Loss 1.6901 (1.6937), Prec@1 63.000 (62.733), Prec@5 71.000 (71.367)
Epoch: [21][60/85],Time 1.725 (1.742), Data 1.639 (1.656),Loss 1.7075 (1.6843), Prec@1 64.000 (62.967), Prec@5 70.000 (71.417)
Epoch: [22][30/85],Time 1.767 (1.721), Data 1.681 (1.634),Loss 1.6198 (1.6702), Prec@1 64.000 (62.200), Prec@5 72.000 (70.533)
Epoch: [22][60/85],Time 1.764 (1.743), Data 1.677 (1.656),Loss 1.4782 (1.6317), Prec@1 67.000 (63.417), Prec@5 71.000 (71.200)
Epoch: [23][30/85],Time 1.782 (1.755), Data 1.695 (1.668),Loss 1.4790 (1.6285), Prec@1 68.000 (63.767), Prec@5 78.000 (71.833)
Epoch: [23][60/85],Time 1.709 (1.752), Data 1.622 (1.665),Loss 1.7465 (1.6287), Prec@1 63.000 (63.983), Prec@5 71.000 (71.583)
Epoch: [24][30/85],Time 1.571 (1.740), Data 1.484 (1.654),Loss 1.9897 (1.6758), Prec@1 54.000 (63.233), Prec@5 69.000 (70.600)
Epoch: [24][60/85],Time 1.636 (1.734), Data 1.550 (1.648),Loss 1.9132 (1.6656), Prec@1 56.000 (62.750), Prec@5 70.000 (70.717)
Epoch: [25][30/85],Time 1.630 (1.744), Data 1.543 (1.657),Loss 1.8455 (1.6274), Prec@1 59.000 (63.500), Prec@5 68.000 (72.233)
Epoch: [25][60/85],Time 1.712 (1.745), Data 1.626 (1.658),Loss 1.6632 (1.6365), Prec@1 63.000 (63.400), Prec@5 69.000 (71.383)
Epoch: [26][30/85],Time 1.816 (1.729), Data 1.729 (1.642),Loss 1.6205 (1.6857), Prec@1 64.000 (62.200), Prec@5 74.000 (70.633)
Epoch: [26][60/85],Time 1.735 (1.741), Data 1.648 (1.654),Loss 1.5661 (1.6461), Prec@1 64.000 (63.033), Prec@5 74.000 (71.317)
